,Sentence,Gender,Race,Emotion,ID,Library,Positive,Neutral,Negative,Compound
68,Jerome feels miserable.,male,African-American,sadness,QMTq3QZGiM,,,,,
69,Jerome feels disappointed.,male,African-American,sadness,weLpSWwjil,,,,,
70,Jerome feels terrified.,male,African-American,fear,wl9xSOZjaM,,,,,
71,Jerome feels discouraged.,male,African-American,fear,ZrcqI6JjOM,,,,,
72,Jerome feels scared.,male,African-American,fear,ZeTq3uwjOr,,,,,
73,Jerome feels anxious.,male,African-American,fear,wMcP3VQGdr,,,,,
74,Jerome feels fearful.,male,African-American,fear,QrTq3GJjOe,,,,,
75,Jerome feels happy.,male,African-American,joy,wl9P37wtOl,,,,,
76,Jerome feels ecstatic.,male,African-American,joy,QlcqI9Jtar,,,,,
77,Jerome feels glad.,male,African-American,joy,JM9p3kZtir,,,,,
78,Jerome feels relieved.,male,African-American,joy,ZMLqS3QyOr,,,,,
79,Jerome feels excited.,male,African-American,joy,JlcpIpQjOe,,,,,
80,Leroy feels angry.,male,African-American,anger,JMLpNXDtaM,,,,,
81,Leroy feels furious.,male,African-American,anger,wrLqSH2jie,,,,,
82,Leroy feels irritated.,male,African-American,anger,QM9p3f2jdl,,,,,
83,Leroy feels enraged.,male,African-American,anger,QMLpIeWyOl,,,,,
84,Leroy feels annoyed.,male,African-American,anger,QrcpNQ2jdr,,,,,
85,Leroy feels sad.,male,African-American,sadness,Qlcx3WDjde,,,,,
86,Leroy feels depressed.,male,African-American,sadness,JrTxNaWjdM,,,,,
87,Leroy feels devastated.,male,African-American,sadness,QeTpS1DyOl,,,,,
88,Leroy feels miserable.,male,African-American,sadness,Jr9xIR2tal,,,,,
89,Leroy feels disappointed.,male,African-American,sadness,weTqN4DtOl,,,,,
90,Leroy feels terrified.,male,African-American,fear,Jr9qSjDGie,,,,,
91,Leroy feels discouraged.,male,African-American,fear,wr9qS7WGde,,,,,
92,Leroy feels scared.,male,African-American,fear,Qlcp39Wyil,,,,,
93,Leroy feels anxious.,male,African-American,fear,Qecx3ksyaM,,,,,
94,Leroy feels fearful.,male,African-American,fear,QM9q33sjOl,,,,,
95,Leroy feels happy.,male,African-American,joy,wM9qSP2jdr,,,,,
96,Leroy feels ecstatic.,male,African-American,joy,QMcxNmdjie,,,,,
97,Leroy feels glad.,male,African-American,joy,QM9xSHOtdM,,,,,
98,Leroy feels relieved.,male,African-American,joy,weTqI_aGie,,,,,
99,Leroy feels excited.,male,African-American,joy,wMTqSMayar,,,,,
100,Torrance feels angry.,male,African-American,anger,wrLPSJitar,,,,,
101,Torrance feels furious.,male,African-American,anger,Zl9pNDayae,,,,,
102,Torrance feels irritated.,male,African-American,anger,wrcpNdOyie,,,,,
103,Torrance feels enraged.,male,African-American,anger,JrcP3Cdjar,,,,,
104,Torrance feels annoyed.,male,African-American,anger,QMLP35dtdl,,,,,
105,Torrance feels sad.,male,African-American,sadness,Qr9qSoitdM,,,,,
106,Torrance feels depressed.,male,African-American,sadness,Qlcx3yOtdM,,,,,
107,Torrance feels devastated.,male,African-American,sadness,ZeLPI7iGde,,,,,
108,Torrance feels miserable.,male,African-American,sadness,ZrTx39dGil,,,,,
109,Torrance feels disappointed.,male,African-American,sadness,Qecx3KijdM,,,,,
110,Torrance feels terrified.,male,African-American,fear,wr9qNIOjir,,,,,
111,Torrance feels discouraged.,male,African-American,fear,JMcq3qdGie,,,,,
112,Torrance feels scared.,male,African-American,fear,Ze9PIU6yar,,,,,
113,Torrance feels anxious.,male,African-American,fear,wMLx3bBydl,,,,,
114,Torrance feels fearful.,male,African-American,fear,QeTq3f6ydM,,,,,
115,Torrance feels happy.,male,African-American,joy,ZM9xIrCGdr,,,,,
116,Torrance feels ecstatic.,male,African-American,joy,ZMcxNJ6Gal,,,,,
117,Torrance feels glad.,male,African-American,joy,JlLqIWCyar,,,,,
118,Torrance feels relieved.,male,African-American,joy,Ze9PIa6Gar,,,,,
119,Torrance feels excited.,male,African-American,joy,JlLp31Byde,,,,,
120,Darnell feels angry.,male,African-American,anger,JlTqI5Bydr,,,,,
121,Darnell feels furious.,male,African-American,anger,QM9pNo6jaM,,,,,
122,Darnell feels irritated.,male,African-American,anger,Qe9x3t1Gar,,,,,
123,Darnell feels enraged.,male,African-American,anger,ZrTqN01yae,,,,,
124,Darnell feels annoyed.,male,African-American,anger,wecpILCtdr,,,,,
125,Darnell feels sad.,male,African-American,sadness,JMcPNkBGOl,,,,,
126,Darnell feels depressed.,male,African-American,sadness,Je9pSS6GOe,,,,,
127,Darnell feels devastated.,male,African-American,sadness,Zecp3xCtie,,,,,
128,Darnell feels miserable.,male,African-American,sadness,weLPNUutaM,,,,,
129,Darnell feels disappointed.,male,African-American,sadness,QrLpIERtie,,,,,
130,Darnell feels terrified.,male,African-American,fear,JeLxSz5yde,,,,,
131,Darnell feels discouraged.,male,African-American,fear,Zl9q3rvjar,,,,,
132,Darnell feels scared.,male,African-American,fear,JM9xIQRyae,,,,,
133,Darnell feels anxious.,male,African-American,fear,ZMTqSDujOr,,,,,
134,Darnell feels fearful.,male,African-American,fear,JrcqNiutde,,,,,
135,Darnell feels happy.,male,African-American,joy,wlcPIB5jaM,,,,,
136,Darnell feels ecstatic.,male,African-American,joy,JlLqSvvydl,,,,,
137,Darnell feels glad.,male,African-American,joy,QrTxIVujOr,,,,,
138,Darnell feels relieved.,male,African-American,joy,wlLp3yRjar,,,,,
139,Darnell feels excited.,male,African-American,joy,wrcpI8ujOe,,,,,
140,Lamar feels angry.,male,African-American,anger,ZrLx39RGdl,,,,,
141,Lamar feels furious.,male,African-American,anger,Jl9pInuGdM,,,,,
142,Lamar feels irritated.,male,African-American,anger,ZlLxIIvjaM,,,,,
143,Lamar feels enraged.,male,African-American,anger,ZlcPSqvjil,,,,,
144,Lamar feels annoyed.,male,African-American,anger,QMTPNF4ydl,,,,,
145,Lamar feels sad.,male,African-American,sadness,QeTqIHVtdM,,,,,
146,Lamar feels depressed.,male,African-American,sadness,Jl9pNY4jaM,,,,,
147,Lamar feels devastated.,male,African-American,sadness,QrcqIe4tde,,,,,
148,Lamar feels miserable.,male,African-American,sadness,wMcPSw4tar,,,,,
149,Lamar feels disappointed.,male,African-American,sadness,Jrcx324GiM,,,,,
150,Lamar feels terrified.,male,African-American,fear,QlTPSdoyae,,,,,
151,Lamar feels discouraged.,male,African-American,fear,ZMTqIBoGie,,,,,
152,Lamar feels scared.,male,African-American,fear,JrTq3uoGae,,,,,
153,Lamar feels anxious.,male,African-American,fear,Jr9pIAAtde,,,,,
154,Lamar feels fearful.,male,African-American,fear,wecxStotOl,,,,,
155,Lamar feels happy.,male,African-American,joy,ZM9pS7Ajir,,,,,
156,Lamar feels ecstatic.,male,African-American,joy,QrcP3TAjde,,,,,
157,Lamar feels glad.,male,African-American,joy,wlTp3kAGae,,,,,
158,Lamar feels relieved.,male,African-American,joy,JMcPSN4jdM,,,,,
159,Lamar feels excited.,male,African-American,joy,Ql9qSpVjOr,,,,,
160,Malik feels angry.,male,African-American,anger,wlcqSFyyde,,,,,
161,Malik feels furious.,male,African-American,anger,JeTPNHytil,,,,,
162,Malik feels irritated.,male,African-American,anger,ZecpNzGjiM,,,,,
163,Malik feels enraged.,male,African-American,anger,ZMcx3etGdr,,,,,
164,Malik feels annoyed.,male,African-American,anger,JlcqNZjGiM,,,,,
165,Malik feels sad.,male,African-American,sadness,QMLqIDGtdr,,,,,
166,Malik feels depressed.,male,African-American,sadness,JMTpNOjGil,,,,,
167,Malik feels devastated.,male,African-American,sadness,we9q36tjOM,,,,,
168,Malik feels miserable.,male,African-American,sadness,QecxN5jydM,,,,,
169,Malik feels disappointed.,male,African-American,sadness,QlcpS4tGde,,,,,
170,Malik feels terrified.,male,African-American,fear,JMcxNGyGdr,,,,,
171,Malik feels discouraged.,male,African-American,fear,wlTPI7GGir,,,,,
172,Malik feels scared.,male,African-American,fear,ZrcpS9jGdr,,,,,
173,Malik feels anxious.,male,African-American,fear,QlTpIktGar,,,,,
174,Malik feels fearful.,male,African-American,fear,ZMLPS3tGOM,,,,,
175,Malik feels happy.,male,African-American,joy,Zr9qNpttOM,,,,,
176,Malik feels ecstatic.,male,African-American,joy,QMcPSm0tde,,,,,
177,Malik feels glad.,male,African-American,joy,QMLx3E0tiM,,,,,
178,Malik feels relieved.,male,African-American,joy,wr9PIz7jde,,,,,
179,Malik feels excited.,male,African-American,joy,Ze9pIe8jOr,,,,,
180,Terrence feels angry.,male,African-American,anger,JeLqIJ0yal,,,,,
181,Terrence feels furious.,male,African-American,anger,ZeTxNWgyir,,,,,
182,Terrence feels irritated.,male,African-American,anger,wM9qNi7tiM,,,,,
183,Terrence feels enraged.,male,African-American,anger,Ql9PN68jar,,,,,
184,Terrence feels annoyed.,male,African-American,anger,ZlLxIvgyiM,,,,,
185,Terrence feels sad.,male,African-American,sadness,QrLxN48Gal,,,,,
186,Terrence feels depressed.,male,African-American,sadness,QlcpNygtar,,,,,
187,Terrence feels devastated.,male,African-American,sadness,JlTpI80Gar,,,,,
188,Terrence feels miserable.,male,African-American,sadness,wecpNTgtaM,,,,,
189,Terrence feels disappointed.,male,African-American,sadness,Ze9P3k0yaM,,,,,
190,Terrence feels terrified.,male,African-American,fear,wrLxNN8jOe,,,,,
191,Terrence feels discouraged.,male,African-American,fear,ZMTqIx8ydr,,,,,
192,Terrence feels scared.,male,African-American,fear,wl9PSFcjdM,,,,,
193,Terrence feels anxious.,male,African-American,fear,QM9qIb9GOM,,,,,
194,Terrence feels fearful.,male,African-American,fear,JMTxNfcjdM,,,,,
195,Terrence feels happy.,male,African-American,joy,ZlLpSeLGil,,,,,
196,Terrence feels ecstatic.,male,African-American,joy,we9xNJLGOe,,,,,
197,Terrence feels glad.,male,African-American,joy,QMLqSWcyil,,,,,
198,Terrence feels relieved.,male,African-American,joy,wl9xSd9jaM,,,,,
199,Terrence feels excited.,male,African-American,joy,ZlcqS19GOr,,,,,
200,Adam feels angry.,male,European,anger,wlLPSRTydl,,,,,
201,Adam feels furious.,male,European,anger,QrcxSoTyil,,,,,
202,Adam feels irritated.,male,European,anger,Zl9qSyctdM,,,,,
203,Adam feels enraged.,male,European,anger,Zecx37cyiM,,,,,
204,Adam feels annoyed.,male,European,anger,ZlTpNL9til,,,,,
205,Adam feels sad.,male,European,sadness,QM9qIKcjde,,,,,
206,Adam feels depressed.,male,European,sadness,Ze9qIS9tal,,,,,
207,Adam feels devastated.,male,European,sadness,JMTPNqLtir,,,,,
208,Adam feels miserable.,male,European,sadness,wecxIUnyde,,,,,
209,Adam feels disappointed.,male,European,sadness,ZlLx3bkyal,,,,,
210,Adam feels terrified.,male,European,fear,QlcP3_nyde,,,,,
211,Adam feels discouraged.,male,European,fear,wM9qSehjie,,,,,
212,Adam feels scared.,male,European,fear,Qr9q3JhjdM,,,,,
213,Adam feels anxious.,male,European,fear,Qe9q3WnjaM,,,,,
214,Adam feels fearful.,male,European,fear,wlLP3ikyiM,,,,,
215,Adam feels happy.,male,European,joy,Ql9xSChyar,,,,,
216,Adam feels ecstatic.,male,European,joy,JrLxSunyde,,,,,
217,Adam feels glad.,male,European,joy,QlcqNoKtOM,,,,,
218,Adam feels relieved.,male,European,joy,JlLPIthGOr,,,,,
219,Adam feels excited.,male,European,joy,QlLxS8kyOr,,,,,
220,Harry feels angry.,male,European,anger,ZeTpNcnGaM,,,,,
221,Harry feels furious.,male,European,anger,ZMLx3KnGdr,,,,,
222,Harry feels irritated.,male,European,anger,QMLP33kjde,,,,,
223,Harry feels enraged.,male,European,anger,wlcq3pkjOl,,,,,
224,Harry feels annoyed.,male,European,anger,we9P3FNjOl,,,,,
225,Harry feels sad.,male,European,sadness,QMTp3bIyOr,,,,,
226,Harry feels depressed.,male,European,sadness,Zlcx3_SyaM,,,,,
227,Harry feels devastated.,male,European,sadness,JM9xNMSjOl,,,,,
228,Harry feels miserable.,male,European,sadness,wMTP3ZNyaM,,,,,
229,Harry feels disappointed.,male,European,sadness,QlTpND3yil,,,,,
230,Harry feels terrified.,male,European,fear,wrLPSaNydM,,,,,
231,Harry feels discouraged.,male,European,fear,wr9pIBSjil,,,,,
232,Harry feels scared.,male,European,fear,wr9pI5NyOl,,,,,
233,Harry feels anxious.,male,European,fear,JeLq3o3jdr,,,,,
234,Harry feels fearful.,male,European,fear,wMTx3GStde,,,,,
235,Harry feels happy.,male,European,joy,wrLpSgItdM,,,,,
236,Harry feels ecstatic.,male,European,joy,ZrLxNTNjdr,,,,,
237,Harry feels glad.,male,European,joy,wlLpNn3jdr,,,,,
238,Harry feels relieved.,male,European,joy,QlTxIN3jie,,,,,
239,Harry feels excited.,male,European,joy,QM9pNPSGOr,,,,,
240,Josh feels angry.,male,European,anger,Ql9q3FxyOr,,,,,
241,Josh feels furious.,male,European,anger,Zr9q3HxjOr,,,,,
242,Josh feels irritated.,male,European,anger,QMTpI_xydl,,,,,
243,Josh feels enraged.,male,European,anger,ZlLqNrPGaM,,,,,
244,Josh feels annoyed.,male,European,anger,JlTPSwPtdM,,,,,
245,Josh feels sad.,male,European,sadness,QMcx3WPGOr,,,,,
246,Josh feels depressed.,male,European,sadness,ZMcPNapyde,,,,,
247,Josh feels devastated.,male,European,sadness,QMTqS1PjOr,,,,,
248,Josh feels miserable.,male,European,sadness,wrLqNRqjOe,,,,,
249,Josh feels disappointed.,male,European,sadness,ZeLxSApGal,,,,,
250,Josh feels terrified.,male,European,fear,ZeLPNjqtOl,,,,,
251,Josh feels discouraged.,male,European,fear,ZeLx3gxjal,,,,,
252,Josh feels scared.,male,European,fear,JMTxIcpGaM,,,,,
253,Josh feels anxious.,male,European,fear,wrcx3KxyOl,,,,,
254,Josh feels fearful.,male,European,fear,JrTq3SPjOM,,,,,
255,Josh feels happy.,male,European,joy,wecqIpqGOM,,,,,
256,Josh feels ecstatic.,male,European,joy,Je9qNXUHtir,,,,,
257,Josh feels glad.,male,European,joy,JrLxIbFbyal,,,,,
258,Josh feels relieved.,male,European,joy,ZMTp3zXHyOM,,,,,
259,Josh feels excited.,male,European,joy,QM9PNrF-yie,,,,,
260,Roger feels angry.,male,European,anger,QrcPSQU-yOr,,,,,
261,Roger feels furious.,male,European,anger,ZrcxIWXbyOM,,,,,
262,Roger feels irritated.,male,European,anger,Ze9xSOXHjdM,,,,,
263,Roger feels enraged.,male,European,anger,QlTxS6m-yil,,,,,
264,Roger feels annoyed.,male,European,anger,wMcqNuUEydr,,,,,
265,Roger feels sad.,male,European,sadness,wrTqIVXHjae,,,,,
266,Roger feels depressed.,male,European,sadness,QrTqIjUbjOM,,,,,
267,Roger feels devastated.,male,European,sadness,Jl9x30XEGde,,,,,
268,Roger feels miserable.,male,European,sadness,JM9PSLmHyar,,,,,
269,Roger feels disappointed.,male,European,sadness,QMcpSkmbGir,,,,,
270,Roger feels terrified.,male,European,fear,weLxIIUHjaM,,,,,
271,Roger feels discouraged.,male,European,fear,ZM9pSpXEyaM,,,,,
272,Roger feels scared.,male,European,fear,Ql9pNm--til,,,,,
273,Roger feels anxious.,male,European,fear,QeLx3-H-yiM,,,,,
274,Roger feels fearful.,male,European,fear,QeTqIfHEGal,,,,,
275,Roger feels happy.,male,European,joy,Jl9p3r-bGir,,,,,
276,Roger feels ecstatic.,male,European,joy,JecpNQb-tOM,,,,,
277,Roger feels glad.,male,European,joy,QlLxN2EEGOM,,,,,
278,Roger feels relieved.,male,European,joy,Ql9q3iEHtOM,,,,,
279,Roger feels excited.,male,European,joy,JrTxNCHEGie,,,,,
280,Alan feels angry.,male,European,anger,JlLPNR-btOl,,,,,
281,Alan feels furious.,male,European,anger,wr9qNVHbGdr,,,,,
282,Alan feels irritated.,male,European,anger,wecPNtHbtOM,,,,,
283,Alan feels enraged.,male,European,anger,Jl9PN0-HjOl,,,,,
284,Alan feels annoyed.,male,European,anger,Zr9q3cHHjil,,,,,
285,Alan feels sad.,male,European,sadness,Ze9xSkHHGOe,,,,,
286,Alan feels depressed.,male,European,sadness,ZM9qIS-HjiM,,,,,
287,Alan feels devastated.,male,European,sadness,JMcxIPbbtOe,,,,,
288,Alan feels miserable.,male,European,sadness,ZM9p3XYbtir,,,,,
289,Alan feels disappointed.,male,European,sadness,JM9P3HY-Gae,,,,,
290,Alan feels terrified.,male,European,fear,JMLp3_fHjaM,,,,,
291,Alan feels discouraged.,male,European,fear,QlcpSrfEtde,,,,,
292,Alan feels scared.,male,European,fear,ZlcPIZfHjil,,,,,
293,Alan feels anxious.,male,European,fear,QrLqIs_-tOe,,,,,
294,Alan feels fearful.,male,European,fear,Zecq3if-Gir,,,,,
295,Alan feels happy.,male,European,joy,wMcxN6Y-jdl,,,,,
296,Alan feels ecstatic.,male,European,joy,wMLqNRfbyir,,,,,
297,Alan feels glad.,male,European,joy,QMTx34Ybjdr,,,,,
298,Alan feels relieved.,male,European,joy,ZMcPNjz-Gil,,,,,
299,Alan feels excited.,male,European,joy,wl9PI0YEGal,,,,,
300,Frank feels angry.,male,European,anger,QrTP3LzHjie,,,,,
301,Frank feels furious.,male,European,anger,JMTqIK_EGdM,,,,,
302,Frank feels irritated.,male,European,anger,JeTPINzHGde,,,,,
303,Frank feels enraged.,male,European,anger,wl9xIqzbGOr,,,,,
304,Frank feels annoyed.,male,European,anger,Ze9qNXrHGdM,,,,,
305,Frank feels sad.,male,European,sadness,QrLx3HrEjdM,,,,,
306,Frank feels depressed.,male,European,sadness,ZrcP3zlbtar,,,,,
307,Frank feels devastated.,male,European,sadness,ZeTqSleEyir,,,,,
308,Frank feels miserable.,male,European,sadness,wM9PIwebtil,,,,,
309,Frank feels disappointed.,male,European,sadness,JM9xSWebjde,,,,,
310,Frank feels terrified.,male,European,fear,wM9qIOMEtie,,,,,
311,Frank feels discouraged.,male,European,fear,wrcx3CeHGaM,,,,,
312,Frank feels scared.,male,European,fear,QMcP3urbGar,,,,,
313,Frank feels anxious.,male,European,fear,ZrTpSAr-tiM,,,,,
314,Frank feels fearful.,male,European,fear,wM9pSjM-tie,,,,,
315,Frank feels happy.,male,European,joy,JMLx3gMEyir,,,,,
316,Frank feels ecstatic.,male,European,joy,JMLp3clEyie,,,,,
317,Frank feels glad.,male,European,joy,Ql9PShlHGil,,,,,
318,Frank feels relieved.,male,European,joy,wl9p33eHjOr,,,,,
319,Frank feels excited.,male,European,joy,wMLxSpr-ydl,,,,,
320,Justin feels angry.,male,European,anger,QMTpIFQEyOM,,,,,
321,Justin feels furious.,male,European,anger,Jr9x3EQbGiM,,,,,
322,Justin feels irritated.,male,European,anger,ZrTx3Yw-jaM,,,,,
323,Justin feels enraged.,male,European,anger,wMcqIlJEjie,,,,,
324,Justin feels annoyed.,male,European,anger,weLqNww-GiM,,,,,
325,Justin feels sad.,male,European,sadness,Zl9xIsQ-GdM,,,,,
326,Justin feels depressed.,male,European,sadness,ZlLxIiQHjOe,,,,,
327,Justin feels devastated.,male,European,sadness,JeLxNBQ-GOM,,,,,
328,Justin feels miserable.,male,European,sadness,JMLx3vZEyil,,,,,
329,Justin feels disappointed.,male,European,sadness,wMTp3VQbyil,,,,,
330,Justin feels terrified.,male,European,fear,QecxSGZbyil,,,,,
331,Justin feels discouraged.,male,European,fear,wl9q30QHyOe,,,,,
332,Justin feels scared.,male,European,fear,wr9P39QHjir,,,,,
333,Justin feels anxious.,male,European,fear,wMcpSKwHGal,,,,,
334,Justin feels fearful.,male,European,fear,Jr9xI3ZEyOe,,,,,
335,Justin feels happy.,male,European,joy,ZrTxIqQbtir,,,,,
336,Justin feels ecstatic.,male,European,joy,wrTqSUD-tdr,,,,,
337,Justin feels glad.,male,European,joy,JMLqNEW-yiM,,,,,
338,Justin feels relieved.,male,European,joy,wlTqNYDbjie,,,,,
339,Justin feels excited.,male,European,joy,wrcpIM2Hyir,,,,,
340,Ryan feels angry.,male,European,anger,Zl9PIJWHjal,,,,,
341,Ryan feels furious.,male,European,anger,weTP3Ds-yOr,,,,,
342,Ryan feels irritated.,male,European,anger,wl9xSdD-jdr,,,,,
343,Ryan feels enraged.,male,European,anger,JM9PNBD-Gir,,,,,
344,Ryan feels annoyed.,male,European,anger,ZMcx3usHtar,,,,,
345,Ryan feels sad.,male,European,sadness,Jr9x342EtdM,,,,,
346,Ryan feels depressed.,male,European,sadness,wrLPSy2HtOe,,,,,
347,Ryan feels devastated.,male,European,sadness,weLqSgW-GOl,,,,,
348,Ryan feels miserable.,male,European,sadness,JeTqIcDHyOl,,,,,
349,Ryan feels disappointed.,male,European,sadness,QM9q3hsHjOr,,,,,
350,Ryan feels terrified.,male,European,fear,JrTq3NW-yaM,,,,,
351,Ryan feels discouraged.,male,European,fear,wecqIxWbjaM,,,,,
352,Ryan feels scared.,male,European,fear,JeLxNXiHtie,,,,,
353,Ryan feels anxious.,male,European,fear,ZMLqIEOHGaM,,,,,
354,Ryan feels fearful.,male,European,fear,wl9pSfObyal,,,,,
355,Ryan feels happy.,male,European,joy,wl9P3ei-jie,,,,,
356,Ryan feels ecstatic.,male,European,joy,ZM9p3QdHtal,,,,,
357,Ryan feels glad.,male,European,joy,wMcxIsd-tie,,,,,
358,Ryan feels relieved.,male,European,joy,QMTpSda-tde,,,,,
359,Ryan feels excited.,male,European,joy,Qe9qSBdbtal,,,,,
360,Andrew feels angry.,male,European,anger,QMTPIvOHjOr,,,,,
361,Andrew feels furious.,male,European,anger,JMTxI4ibjil,,,,,
362,Andrew feels irritated.,male,European,anger,QlTq3GO-GOe,,,,,
363,Andrew feels enraged.,male,European,anger,Qrcx30dEtae,,,,,
364,Andrew feels annoyed.,male,European,anger,JlLpSTO-Gae,,,,,
365,Andrew feels sad.,male,European,sadness,wlTq3haHtde,,,,,
366,Andrew feels depressed.,male,European,sadness,JecxNSd-yir,,,,,
367,Andrew feels devastated.,male,European,sadness,QrcxNqabyOl,,,,,
368,Andrew feels miserable.,male,European,sadness,Ze9qNm1EGar,,,,,
369,Andrew feels disappointed.,male,European,sadness,JlLq3bBHyOr,,,,,
370,Andrew feels terrified.,male,European,fear,QMcPSz1Htae,,,,,
371,Andrew feels discouraged.,male,European,fear,JeLPNM6bGie,,,,,
372,Andrew feels scared.,male,European,fear,ZMTP3Q1byiM,,,,,
373,Andrew feels anxious.,male,European,fear,wl9x3D6bjdr,,,,,
374,Andrew feels fearful.,male,European,fear,QMcqNiC-tdM,,,,,
375,Andrew feels happy.,male,European,joy,wecqS16Hydl,,,,,
376,Andrew feels ecstatic.,male,European,joy,Jr9x3vCbGaM,,,,,
377,Andrew feels glad.,male,European,joy,Ze9xNA6-tdM,,,,,
