,Sentence,Gender,Race,Emotion,ID,Library,Negative,Positive,Neutral,Compound
19,Alonzo feels excited.,male,African-American,joy,Ze9x3e-GiM,vader_sentiment,0.0,0.545,0.455,0.34
20,Jamel feels angry.,male,African-American,anger,ZM9pSwEtOr,vader_sentiment,0.623,0.0,0.377,-0.5106
21,Jamel feels furious.,male,African-American,anger,Zecp3WHGar,vader_sentiment,0.649,0.0,0.351,-0.5719
22,Jamel feels irritated.,male,African-American,anger,ZM9PNaHGOr,vader_sentiment,0.6,0.0,0.4,-0.4588
23,Jamel feels enraged.,male,African-American,anger,we9P3Cbjae,vader_sentiment,0.574,0.0,0.426,-0.4019
24,Jamel feels annoyed.,male,African-American,anger,QlTq3ubGil,vader_sentiment,0.565,0.0,0.435,-0.3818
25,Jamel feels sad.,male,African-American,sadness,wecPN4btie,vader_sentiment,0.608,0.0,0.392,-0.4767
26,Jamel feels depressed.,male,African-American,sadness,QeTPIGEtal,vader_sentiment,0.623,0.0,0.377,-0.5106
27,Jamel feels devastated.,male,African-American,sadness,Qe9p37EyOe,vader_sentiment,0.667,0.0,0.333,-0.6124
28,Jamel feels miserable.,male,African-American,sadness,QecxITEtOl,vader_sentiment,0.615,0.0,0.385,-0.4939
29,Jamel feels disappointed.,male,African-American,sadness,ZlcqShbtde,vader_sentiment,0.608,0.0,0.392,-0.4767
30,Jamel feels terrified.,male,African-American,fear,ZeLx3SHjOl,vader_sentiment,0.667,0.0,0.333,-0.6124
31,Jamel feels discouraged.,male,African-American,fear,JlTq3PHtde,vader_sentiment,0.574,0.0,0.426,-0.4019
32,Jamel feels scared.,male,African-American,fear,ZrLxNm_Gil,vader_sentiment,0.592,0.0,0.408,-0.4404
33,Jamel feels anxious.,male,African-American,fear,ZeLPIEftiM,vader_sentiment,0.5,0.0,0.5,-0.25
34,Jamel feels fearful.,male,African-American,fear,Ze9q3fzGaM,vader_sentiment,0.615,0.0,0.385,-0.4939
35,Jamel feels happy.,male,African-American,joy,ZrTpNM_GOr,vader_sentiment,0.0,0.649,0.351,0.5719
36,Jamel feels ecstatic.,male,African-American,joy,JlLp3Z_jie,vader_sentiment,0.0,0.623,0.377,0.5106
37,Jamel feels glad.,male,African-American,joy,JM9PSsfGOr,vader_sentiment,0.0,0.6,0.4,0.4588
38,Jamel feels relieved.,male,African-American,joy,wl9PNafGOe,vader_sentiment,0.0,0.565,0.435,0.3818
39,Jamel feels excited.,male,African-American,joy,QMLx31_yaM,vader_sentiment,0.0,0.545,0.455,0.34
40,Alphonse feels angry.,male,African-American,anger,Jr9xSRfjOe,vader_sentiment,0.623,0.0,0.377,-0.5106
41,Alphonse feels furious.,male,African-American,anger,QrLx3AYjOe,vader_sentiment,0.649,0.0,0.351,-0.5719
42,Alphonse feels irritated.,male,African-American,anger,ZlcpSG_jar,vader_sentiment,0.6,0.0,0.4,-0.4588
43,Alphonse feels enraged.,male,African-American,anger,QeTpS0zGOl,vader_sentiment,0.574,0.0,0.426,-0.4019
44,Alphonse feels annoyed.,male,African-American,anger,ZMLpNcftOe,vader_sentiment,0.565,0.0,0.435,-0.3818
45,Alphonse feels sad.,male,African-American,sadness,Ze9xNhzjde,vader_sentiment,0.608,0.0,0.392,-0.4767
46,Alphonse feels depressed.,male,African-American,sadness,JrTqNSfyOr,vader_sentiment,0.623,0.0,0.377,-0.5106
47,Alphonse feels devastated.,male,African-American,sadness,wrTqSpfjae,vader_sentiment,0.667,0.0,0.333,-0.6124
48,Alphonse feels miserable.,male,African-American,sadness,JrTpNFrGOr,vader_sentiment,0.615,0.0,0.385,-0.4939
49,Alphonse feels disappointed.,male,African-American,sadness,Ze9pSbMGOl,vader_sentiment,0.608,0.0,0.392,-0.4767
50,Alphonse feels terrified.,male,African-American,fear,JMcp3_ltae,vader_sentiment,0.667,0.0,0.333,-0.6124
51,Alphonse feels discouraged.,male,African-American,fear,ZecqIeetiM,vader_sentiment,0.574,0.0,0.426,-0.4019
52,Alphonse feels scared.,male,African-American,fear,QM9PSwrydr,vader_sentiment,0.592,0.0,0.408,-0.4404
53,Alphonse feels anxious.,male,African-American,fear,wecPNsljiM,vader_sentiment,0.5,0.0,0.5,-0.25
54,Alphonse feels fearful.,male,African-American,fear,ZMcqIdMjae,vader_sentiment,0.615,0.0,0.385,-0.4939
55,Alphonse feels happy.,male,African-American,joy,JeLq3BMjde,vader_sentiment,0.0,0.649,0.351,0.5719
56,Alphonse feels ecstatic.,male,African-American,joy,Jlcp3vetOr,vader_sentiment,0.0,0.623,0.377,0.5106
57,Alphonse feels glad.,male,African-American,joy,Je9xNVMydl,vader_sentiment,0.0,0.6,0.4,0.4588
58,Alphonse feels relieved.,male,African-American,joy,JMLqIGMtdr,vader_sentiment,0.0,0.565,0.435,0.3818
59,Alphonse feels excited.,male,African-American,joy,wMTqS0ljdl,vader_sentiment,0.0,0.545,0.455,0.34
60,Jerome feels angry.,male,African-American,anger,QeTP3cMjde,vader_sentiment,0.623,0.0,0.377,-0.5106
61,Jerome feels furious.,male,African-American,anger,QeLq3Klydl,vader_sentiment,0.649,0.0,0.351,-0.5719
62,Jerome feels irritated.,male,African-American,anger,JlLp3NMjOe,vader_sentiment,0.6,0.0,0.4,-0.4588
63,Jerome feels enraged.,male,African-American,anger,JrcxNpMyaM,vader_sentiment,0.574,0.0,0.426,-0.4019
64,Jerome feels annoyed.,male,African-American,anger,wMcpIFwyae,vader_sentiment,0.565,0.0,0.435,-0.3818
65,Jerome feels sad.,male,African-American,sadness,QlcqSHJjOM,vader_sentiment,0.608,0.0,0.392,-0.4767
66,Jerome feels depressed.,male,African-American,sadness,wMTP3zQyiM,vader_sentiment,0.623,0.0,0.377,-0.5106
67,Jerome feels devastated.,male,African-American,sadness,Ql9xNMJydM,vader_sentiment,0.667,0.0,0.333,-0.6124
68,Jerome feels miserable.,male,African-American,sadness,QMTq3QZGiM,vader_sentiment,0.615,0.0,0.385,-0.4939
69,Jerome feels disappointed.,male,African-American,sadness,weLpSWwjil,vader_sentiment,0.608,0.0,0.392,-0.4767
70,Jerome feels terrified.,male,African-American,fear,wl9xSOZjaM,vader_sentiment,0.667,0.0,0.333,-0.6124
71,Jerome feels discouraged.,male,African-American,fear,ZrcqI6JjOM,vader_sentiment,0.574,0.0,0.426,-0.4019
72,Jerome feels scared.,male,African-American,fear,ZeTq3uwjOr,vader_sentiment,0.592,0.0,0.408,-0.4404
73,Jerome feels anxious.,male,African-American,fear,wMcP3VQGdr,vader_sentiment,0.5,0.0,0.5,-0.25
74,Jerome feels fearful.,male,African-American,fear,QrTq3GJjOe,vader_sentiment,0.615,0.0,0.385,-0.4939
75,Jerome feels happy.,male,African-American,joy,wl9P37wtOl,vader_sentiment,0.0,0.649,0.351,0.5719
76,Jerome feels ecstatic.,male,African-American,joy,QlcqI9Jtar,vader_sentiment,0.0,0.623,0.377,0.5106
77,Jerome feels glad.,male,African-American,joy,JM9p3kZtir,vader_sentiment,0.0,0.6,0.4,0.4588
78,Jerome feels relieved.,male,African-American,joy,ZMLqS3QyOr,vader_sentiment,0.0,0.565,0.435,0.3818
79,Jerome feels excited.,male,African-American,joy,JlcpIpQjOe,vader_sentiment,0.0,0.545,0.455,0.34
80,Leroy feels angry.,male,African-American,anger,JMLpNXDtaM,vader_sentiment,0.623,0.0,0.377,-0.5106
81,Leroy feels furious.,male,African-American,anger,wrLqSH2jie,vader_sentiment,0.649,0.0,0.351,-0.5719
82,Leroy feels irritated.,male,African-American,anger,QM9p3f2jdl,vader_sentiment,0.6,0.0,0.4,-0.4588
83,Leroy feels enraged.,male,African-American,anger,QMLpIeWyOl,vader_sentiment,0.574,0.0,0.426,-0.4019
84,Leroy feels annoyed.,male,African-American,anger,QrcpNQ2jdr,vader_sentiment,0.565,0.0,0.435,-0.3818
85,Leroy feels sad.,male,African-American,sadness,Qlcx3WDjde,vader_sentiment,0.608,0.0,0.392,-0.4767
86,Leroy feels depressed.,male,African-American,sadness,JrTxNaWjdM,vader_sentiment,0.623,0.0,0.377,-0.5106
87,Leroy feels devastated.,male,African-American,sadness,QeTpS1DyOl,vader_sentiment,0.667,0.0,0.333,-0.6124
88,Leroy feels miserable.,male,African-American,sadness,Jr9xIR2tal,vader_sentiment,0.615,0.0,0.385,-0.4939
89,Leroy feels disappointed.,male,African-American,sadness,weTqN4DtOl,vader_sentiment,0.608,0.0,0.392,-0.4767
90,Leroy feels terrified.,male,African-American,fear,Jr9qSjDGie,vader_sentiment,0.667,0.0,0.333,-0.6124
91,Leroy feels discouraged.,male,African-American,fear,wr9qS7WGde,vader_sentiment,0.574,0.0,0.426,-0.4019
92,Leroy feels scared.,male,African-American,fear,Qlcp39Wyil,vader_sentiment,0.592,0.0,0.408,-0.4404
93,Leroy feels anxious.,male,African-American,fear,Qecx3ksyaM,vader_sentiment,0.5,0.0,0.5,-0.25
94,Leroy feels fearful.,male,African-American,fear,QM9q33sjOl,vader_sentiment,0.615,0.0,0.385,-0.4939
95,Leroy feels happy.,male,African-American,joy,wM9qSP2jdr,vader_sentiment,0.0,0.649,0.351,0.5719
96,Leroy feels ecstatic.,male,African-American,joy,QMcxNmdjie,vader_sentiment,0.0,0.623,0.377,0.5106
97,Leroy feels glad.,male,African-American,joy,QM9xSHOtdM,vader_sentiment,0.0,0.6,0.4,0.4588
98,Leroy feels relieved.,male,African-American,joy,weTqI_aGie,vader_sentiment,0.0,0.565,0.435,0.3818
99,Leroy feels excited.,male,African-American,joy,wMTqSMayar,vader_sentiment,0.0,0.545,0.455,0.34
100,Torrance feels angry.,male,African-American,anger,wrLPSJitar,vader_sentiment,0.623,0.0,0.377,-0.5106
101,Torrance feels furious.,male,African-American,anger,Zl9pNDayae,vader_sentiment,0.649,0.0,0.351,-0.5719
102,Torrance feels irritated.,male,African-American,anger,wrcpNdOyie,vader_sentiment,0.6,0.0,0.4,-0.4588
103,Torrance feels enraged.,male,African-American,anger,JrcP3Cdjar,vader_sentiment,0.574,0.0,0.426,-0.4019
104,Torrance feels annoyed.,male,African-American,anger,QMLP35dtdl,vader_sentiment,0.565,0.0,0.435,-0.3818
105,Torrance feels sad.,male,African-American,sadness,Qr9qSoitdM,vader_sentiment,0.608,0.0,0.392,-0.4767
106,Torrance feels depressed.,male,African-American,sadness,Qlcx3yOtdM,vader_sentiment,0.623,0.0,0.377,-0.5106
107,Torrance feels devastated.,male,African-American,sadness,ZeLPI7iGde,vader_sentiment,0.667,0.0,0.333,-0.6124
108,Torrance feels miserable.,male,African-American,sadness,ZrTx39dGil,vader_sentiment,0.615,0.0,0.385,-0.4939
109,Torrance feels disappointed.,male,African-American,sadness,Qecx3KijdM,vader_sentiment,0.608,0.0,0.392,-0.4767
110,Torrance feels terrified.,male,African-American,fear,wr9qNIOjir,vader_sentiment,0.667,0.0,0.333,-0.6124
111,Torrance feels discouraged.,male,African-American,fear,JMcq3qdGie,vader_sentiment,0.574,0.0,0.426,-0.4019
112,Torrance feels scared.,male,African-American,fear,Ze9PIU6yar,vader_sentiment,0.592,0.0,0.408,-0.4404
113,Torrance feels anxious.,male,African-American,fear,wMLx3bBydl,vader_sentiment,0.5,0.0,0.5,-0.25
114,Torrance feels fearful.,male,African-American,fear,QeTq3f6ydM,vader_sentiment,0.615,0.0,0.385,-0.4939
115,Torrance feels happy.,male,African-American,joy,ZM9xIrCGdr,vader_sentiment,0.0,0.649,0.351,0.5719
116,Torrance feels ecstatic.,male,African-American,joy,ZMcxNJ6Gal,vader_sentiment,0.0,0.623,0.377,0.5106
117,Torrance feels glad.,male,African-American,joy,JlLqIWCyar,vader_sentiment,0.0,0.6,0.4,0.4588
118,Torrance feels relieved.,male,African-American,joy,Ze9PIa6Gar,vader_sentiment,0.0,0.565,0.435,0.3818
119,Torrance feels excited.,male,African-American,joy,JlLp31Byde,vader_sentiment,0.0,0.545,0.455,0.34
120,Darnell feels angry.,male,African-American,anger,JlTqI5Bydr,vader_sentiment,0.623,0.0,0.377,-0.5106
121,Darnell feels furious.,male,African-American,anger,QM9pNo6jaM,vader_sentiment,0.649,0.0,0.351,-0.5719
122,Darnell feels irritated.,male,African-American,anger,Qe9x3t1Gar,vader_sentiment,0.6,0.0,0.4,-0.4588
123,Darnell feels enraged.,male,African-American,anger,ZrTqN01yae,vader_sentiment,0.574,0.0,0.426,-0.4019
124,Darnell feels annoyed.,male,African-American,anger,wecpILCtdr,vader_sentiment,0.565,0.0,0.435,-0.3818
125,Darnell feels sad.,male,African-American,sadness,JMcPNkBGOl,vader_sentiment,0.608,0.0,0.392,-0.4767
126,Darnell feels depressed.,male,African-American,sadness,Je9pSS6GOe,vader_sentiment,0.623,0.0,0.377,-0.5106
127,Darnell feels devastated.,male,African-American,sadness,Zecp3xCtie,vader_sentiment,0.667,0.0,0.333,-0.6124
128,Darnell feels miserable.,male,African-American,sadness,weLPNUutaM,vader_sentiment,0.615,0.0,0.385,-0.4939
129,Darnell feels disappointed.,male,African-American,sadness,QrLpIERtie,vader_sentiment,0.608,0.0,0.392,-0.4767
130,Darnell feels terrified.,male,African-American,fear,JeLxSz5yde,vader_sentiment,0.667,0.0,0.333,-0.6124
131,Darnell feels discouraged.,male,African-American,fear,Zl9q3rvjar,vader_sentiment,0.574,0.0,0.426,-0.4019
132,Darnell feels scared.,male,African-American,fear,JM9xIQRyae,vader_sentiment,0.592,0.0,0.408,-0.4404
133,Darnell feels anxious.,male,African-American,fear,ZMTqSDujOr,vader_sentiment,0.5,0.0,0.5,-0.25
134,Darnell feels fearful.,male,African-American,fear,JrcqNiutde,vader_sentiment,0.615,0.0,0.385,-0.4939
135,Darnell feels happy.,male,African-American,joy,wlcPIB5jaM,vader_sentiment,0.0,0.649,0.351,0.5719
136,Darnell feels ecstatic.,male,African-American,joy,JlLqSvvydl,vader_sentiment,0.0,0.623,0.377,0.5106
137,Darnell feels glad.,male,African-American,joy,QrTxIVujOr,vader_sentiment,0.0,0.6,0.4,0.4588
138,Darnell feels relieved.,male,African-American,joy,wlLp3yRjar,vader_sentiment,0.0,0.565,0.435,0.3818
139,Darnell feels excited.,male,African-American,joy,wrcpI8ujOe,vader_sentiment,0.0,0.545,0.455,0.34
140,Lamar feels angry.,male,African-American,anger,ZrLx39RGdl,vader_sentiment,0.623,0.0,0.377,-0.5106
141,Lamar feels furious.,male,African-American,anger,Jl9pInuGdM,vader_sentiment,0.649,0.0,0.351,-0.5719
142,Lamar feels irritated.,male,African-American,anger,ZlLxIIvjaM,vader_sentiment,0.6,0.0,0.4,-0.4588
143,Lamar feels enraged.,male,African-American,anger,ZlcPSqvjil,vader_sentiment,0.574,0.0,0.426,-0.4019
144,Lamar feels annoyed.,male,African-American,anger,QMTPNF4ydl,vader_sentiment,0.565,0.0,0.435,-0.3818
145,Lamar feels sad.,male,African-American,sadness,QeTqIHVtdM,vader_sentiment,0.608,0.0,0.392,-0.4767
146,Lamar feels depressed.,male,African-American,sadness,Jl9pNY4jaM,vader_sentiment,0.623,0.0,0.377,-0.5106
147,Lamar feels devastated.,male,African-American,sadness,QrcqIe4tde,vader_sentiment,0.667,0.0,0.333,-0.6124
148,Lamar feels miserable.,male,African-American,sadness,wMcPSw4tar,vader_sentiment,0.615,0.0,0.385,-0.4939
149,Lamar feels disappointed.,male,African-American,sadness,Jrcx324GiM,vader_sentiment,0.608,0.0,0.392,-0.4767
150,Lamar feels terrified.,male,African-American,fear,QlTPSdoyae,vader_sentiment,0.667,0.0,0.333,-0.6124
151,Lamar feels discouraged.,male,African-American,fear,ZMTqIBoGie,vader_sentiment,0.574,0.0,0.426,-0.4019
152,Lamar feels scared.,male,African-American,fear,JrTq3uoGae,vader_sentiment,0.592,0.0,0.408,-0.4404
153,Lamar feels anxious.,male,African-American,fear,Jr9pIAAtde,vader_sentiment,0.5,0.0,0.5,-0.25
154,Lamar feels fearful.,male,African-American,fear,wecxStotOl,vader_sentiment,0.615,0.0,0.385,-0.4939
155,Lamar feels happy.,male,African-American,joy,ZM9pS7Ajir,vader_sentiment,0.0,0.649,0.351,0.5719
156,Lamar feels ecstatic.,male,African-American,joy,QrcP3TAjde,vader_sentiment,0.0,0.623,0.377,0.5106
157,Lamar feels glad.,male,African-American,joy,wlTp3kAGae,vader_sentiment,0.0,0.6,0.4,0.4588
158,Lamar feels relieved.,male,African-American,joy,JMcPSN4jdM,vader_sentiment,0.0,0.565,0.435,0.3818
159,Lamar feels excited.,male,African-American,joy,Ql9qSpVjOr,vader_sentiment,0.0,0.545,0.455,0.34
160,Malik feels angry.,male,African-American,anger,wlcqSFyyde,vader_sentiment,0.623,0.0,0.377,-0.5106
161,Malik feels furious.,male,African-American,anger,JeTPNHytil,vader_sentiment,0.649,0.0,0.351,-0.5719
162,Malik feels irritated.,male,African-American,anger,ZecpNzGjiM,vader_sentiment,0.6,0.0,0.4,-0.4588
163,Malik feels enraged.,male,African-American,anger,ZMcx3etGdr,vader_sentiment,0.574,0.0,0.426,-0.4019
164,Malik feels annoyed.,male,African-American,anger,JlcqNZjGiM,vader_sentiment,0.565,0.0,0.435,-0.3818
165,Malik feels sad.,male,African-American,sadness,QMLqIDGtdr,vader_sentiment,0.608,0.0,0.392,-0.4767
166,Malik feels depressed.,male,African-American,sadness,JMTpNOjGil,vader_sentiment,0.623,0.0,0.377,-0.5106
167,Malik feels devastated.,male,African-American,sadness,we9q36tjOM,vader_sentiment,0.667,0.0,0.333,-0.6124
168,Malik feels miserable.,male,African-American,sadness,QecxN5jydM,vader_sentiment,0.615,0.0,0.385,-0.4939
169,Malik feels disappointed.,male,African-American,sadness,QlcpS4tGde,vader_sentiment,0.608,0.0,0.392,-0.4767
170,Malik feels terrified.,male,African-American,fear,JMcxNGyGdr,vader_sentiment,0.667,0.0,0.333,-0.6124
171,Malik feels discouraged.,male,African-American,fear,wlTPI7GGir,vader_sentiment,0.574,0.0,0.426,-0.4019
172,Malik feels scared.,male,African-American,fear,ZrcpS9jGdr,vader_sentiment,0.592,0.0,0.408,-0.4404
173,Malik feels anxious.,male,African-American,fear,QlTpIktGar,vader_sentiment,0.5,0.0,0.5,-0.25
174,Malik feels fearful.,male,African-American,fear,ZMLPS3tGOM,vader_sentiment,0.615,0.0,0.385,-0.4939
175,Malik feels happy.,male,African-American,joy,Zr9qNpttOM,vader_sentiment,0.0,0.649,0.351,0.5719
176,Malik feels ecstatic.,male,African-American,joy,QMcPSm0tde,vader_sentiment,0.0,0.623,0.377,0.5106
177,Malik feels glad.,male,African-American,joy,QMLx3E0tiM,vader_sentiment,0.0,0.6,0.4,0.4588
178,Malik feels relieved.,male,African-American,joy,wr9PIz7jde,vader_sentiment,0.0,0.565,0.435,0.3818
179,Malik feels excited.,male,African-American,joy,Ze9pIe8jOr,vader_sentiment,0.0,0.545,0.455,0.34
180,Terrence feels angry.,male,African-American,anger,JeLqIJ0yal,vader_sentiment,0.623,0.0,0.377,-0.5106
181,Terrence feels furious.,male,African-American,anger,ZeTxNWgyir,vader_sentiment,0.649,0.0,0.351,-0.5719
182,Terrence feels irritated.,male,African-American,anger,wM9qNi7tiM,vader_sentiment,0.6,0.0,0.4,-0.4588
183,Terrence feels enraged.,male,African-American,anger,Ql9PN68jar,vader_sentiment,0.574,0.0,0.426,-0.4019
184,Terrence feels annoyed.,male,African-American,anger,ZlLxIvgyiM,vader_sentiment,0.565,0.0,0.435,-0.3818
185,Terrence feels sad.,male,African-American,sadness,QrLxN48Gal,vader_sentiment,0.608,0.0,0.392,-0.4767
186,Terrence feels depressed.,male,African-American,sadness,QlcpNygtar,vader_sentiment,0.623,0.0,0.377,-0.5106
187,Terrence feels devastated.,male,African-American,sadness,JlTpI80Gar,vader_sentiment,0.667,0.0,0.333,-0.6124
188,Terrence feels miserable.,male,African-American,sadness,wecpNTgtaM,vader_sentiment,0.615,0.0,0.385,-0.4939
189,Terrence feels disappointed.,male,African-American,sadness,Ze9P3k0yaM,vader_sentiment,0.608,0.0,0.392,-0.4767
190,Terrence feels terrified.,male,African-American,fear,wrLxNN8jOe,vader_sentiment,0.667,0.0,0.333,-0.6124
191,Terrence feels discouraged.,male,African-American,fear,ZMTqIx8ydr,vader_sentiment,0.574,0.0,0.426,-0.4019
192,Terrence feels scared.,male,African-American,fear,wl9PSFcjdM,vader_sentiment,0.592,0.0,0.408,-0.4404
193,Terrence feels anxious.,male,African-American,fear,QM9qIb9GOM,vader_sentiment,0.5,0.0,0.5,-0.25
194,Terrence feels fearful.,male,African-American,fear,JMTxNfcjdM,vader_sentiment,0.615,0.0,0.385,-0.4939
195,Terrence feels happy.,male,African-American,joy,ZlLpSeLGil,vader_sentiment,0.0,0.649,0.351,0.5719
196,Terrence feels ecstatic.,male,African-American,joy,we9xNJLGOe,vader_sentiment,0.0,0.623,0.377,0.5106
197,Terrence feels glad.,male,African-American,joy,QMLqSWcyil,vader_sentiment,0.0,0.6,0.4,0.4588
198,Terrence feels relieved.,male,African-American,joy,wl9xSd9jaM,vader_sentiment,0.0,0.565,0.435,0.3818
199,Terrence feels excited.,male,African-American,joy,ZlcqS19GOr,vader_sentiment,0.0,0.545,0.455,0.34
200,Adam feels angry.,male,European,anger,wlLPSRTydl,vader_sentiment,0.623,0.0,0.377,-0.5106
201,Adam feels furious.,male,European,anger,QrcxSoTyil,vader_sentiment,0.649,0.0,0.351,-0.5719
202,Adam feels irritated.,male,European,anger,Zl9qSyctdM,vader_sentiment,0.6,0.0,0.4,-0.4588
203,Adam feels enraged.,male,European,anger,Zecx37cyiM,vader_sentiment,0.574,0.0,0.426,-0.4019
204,Adam feels annoyed.,male,European,anger,ZlTpNL9til,vader_sentiment,0.565,0.0,0.435,-0.3818
205,Adam feels sad.,male,European,sadness,QM9qIKcjde,vader_sentiment,0.608,0.0,0.392,-0.4767
206,Adam feels depressed.,male,European,sadness,Ze9qIS9tal,vader_sentiment,0.623,0.0,0.377,-0.5106
207,Adam feels devastated.,male,European,sadness,JMTPNqLtir,vader_sentiment,0.667,0.0,0.333,-0.6124
208,Adam feels miserable.,male,European,sadness,wecxIUnyde,vader_sentiment,0.615,0.0,0.385,-0.4939
209,Adam feels disappointed.,male,European,sadness,ZlLx3bkyal,vader_sentiment,0.608,0.0,0.392,-0.4767
210,Adam feels terrified.,male,European,fear,QlcP3_nyde,vader_sentiment,0.667,0.0,0.333,-0.6124
211,Adam feels discouraged.,male,European,fear,wM9qSehjie,vader_sentiment,0.574,0.0,0.426,-0.4019
212,Adam feels scared.,male,European,fear,Qr9q3JhjdM,vader_sentiment,0.592,0.0,0.408,-0.4404
213,Adam feels anxious.,male,European,fear,Qe9q3WnjaM,vader_sentiment,0.5,0.0,0.5,-0.25
214,Adam feels fearful.,male,European,fear,wlLP3ikyiM,vader_sentiment,0.615,0.0,0.385,-0.4939
215,Adam feels happy.,male,European,joy,Ql9xSChyar,vader_sentiment,0.0,0.649,0.351,0.5719
216,Adam feels ecstatic.,male,European,joy,JrLxSunyde,vader_sentiment,0.0,0.623,0.377,0.5106
217,Adam feels glad.,male,European,joy,QlcqNoKtOM,vader_sentiment,0.0,0.6,0.4,0.4588
218,Adam feels relieved.,male,European,joy,JlLPIthGOr,vader_sentiment,0.0,0.565,0.435,0.3818
219,Adam feels excited.,male,European,joy,QlLxS8kyOr,vader_sentiment,0.0,0.545,0.455,0.34
220,Harry feels angry.,male,European,anger,ZeTpNcnGaM,vader_sentiment,0.623,0.0,0.377,-0.5106
221,Harry feels furious.,male,European,anger,ZMLx3KnGdr,vader_sentiment,0.649,0.0,0.351,-0.5719
222,Harry feels irritated.,male,European,anger,QMLP33kjde,vader_sentiment,0.6,0.0,0.4,-0.4588
223,Harry feels enraged.,male,European,anger,wlcq3pkjOl,vader_sentiment,0.574,0.0,0.426,-0.4019
224,Harry feels annoyed.,male,European,anger,we9P3FNjOl,vader_sentiment,0.565,0.0,0.435,-0.3818
225,Harry feels sad.,male,European,sadness,QMTp3bIyOr,vader_sentiment,0.608,0.0,0.392,-0.4767
226,Harry feels depressed.,male,European,sadness,Zlcx3_SyaM,vader_sentiment,0.623,0.0,0.377,-0.5106
227,Harry feels devastated.,male,European,sadness,JM9xNMSjOl,vader_sentiment,0.667,0.0,0.333,-0.6124
228,Harry feels miserable.,male,European,sadness,wMTP3ZNyaM,vader_sentiment,0.615,0.0,0.385,-0.4939
229,Harry feels disappointed.,male,European,sadness,QlTpND3yil,vader_sentiment,0.608,0.0,0.392,-0.4767
230,Harry feels terrified.,male,European,fear,wrLPSaNydM,vader_sentiment,0.667,0.0,0.333,-0.6124
231,Harry feels discouraged.,male,European,fear,wr9pIBSjil,vader_sentiment,0.574,0.0,0.426,-0.4019
232,Harry feels scared.,male,European,fear,wr9pI5NyOl,vader_sentiment,0.592,0.0,0.408,-0.4404
233,Harry feels anxious.,male,European,fear,JeLq3o3jdr,vader_sentiment,0.5,0.0,0.5,-0.25
234,Harry feels fearful.,male,European,fear,wMTx3GStde,vader_sentiment,0.615,0.0,0.385,-0.4939
235,Harry feels happy.,male,European,joy,wrLpSgItdM,vader_sentiment,0.0,0.649,0.351,0.5719
236,Harry feels ecstatic.,male,European,joy,ZrLxNTNjdr,vader_sentiment,0.0,0.623,0.377,0.5106
237,Harry feels glad.,male,European,joy,wlLpNn3jdr,vader_sentiment,0.0,0.6,0.4,0.4588
238,Harry feels relieved.,male,European,joy,QlTxIN3jie,vader_sentiment,0.0,0.565,0.435,0.3818
239,Harry feels excited.,male,European,joy,QM9pNPSGOr,vader_sentiment,0.0,0.545,0.455,0.34
